"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 29 18:06:02 GMT 2024","Sat Jun 29 18:07:05 GMT 2024","63425","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial",""
"passed","Sat Jun 29 18:11:44 GMT 2024","Sat Jun 29 18:12:18 GMT 2024","33496","chromium","","API key","","","TC_12_49_01 | Purchase Titanium API plan","Objective: Verify that the user can successfully purchase an API plan"
"passed","Sat Jun 29 18:10:42 GMT 2024","Sat Jun 29 18:11:24 GMT 2024","42487","chromium","","Profile","","","TC_11_45_01 | Verify that User can change password","Objective: To verify that the User can change a password and login with a new password"
"passed","Sat Jun 29 18:08:16 GMT 2024","Sat Jun 29 18:09:02 GMT 2024","45657","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder","To verify the process of moving a document into a folder."
"passed","Sat Jun 29 18:12:17 GMT 2024","Sat Jun 29 18:12:38 GMT 2024","20270","chromium","","Billing","","","TC_14_56_01 | Verify successful upsell of users subscription Business plan","Objective: Verify that free users can successfully upgrade their subscription plan.
"
"passed","Sat Jun 29 18:05:30 GMT 2024","Sat Jun 29 18:06:02 GMT 2024","31847","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"passed","Sat Jun 29 18:05:54 GMT 2024","Sat Jun 29 18:06:01 GMT 2024","6968","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"skipped","Sat Jun 29 18:08:51 GMT 2024","Sat Jun 29 18:08:51 GMT 2024","6","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder",""
"skipped","Sat Jun 29 18:08:51 GMT 2024","Sat Jun 29 18:08:51 GMT 2024","0","chromium","","Folders","","","TC_06_23_01 | Rename folder",""
"passed","Sat Jun 29 18:06:55 GMT 2024","Sat Jun 29 18:07:31 GMT 2024","35440","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order","To verify custom signing order"
"passed","Sat Jun 29 18:07:05 GMT 2024","Sat Jun 29 18:07:52 GMT 2024","46677","chromium","","Sign Document","","","TC_04_10_02 | Verify that the user who uploaded the document and other signer can sign it","Objective: To verify that the user who uploaded the document and Other Signer can sign it"
"passed","Sat Jun 29 18:12:07 GMT 2024","Sat Jun 29 18:12:31 GMT 2024","24496","chromium","","Billing","","","TC_14_56_01 | Verify successful upsell of users subscription Personal plan","Objective: Verify that free users can successfully upgrade their subscription plan.
"
"passed","Sat Jun 29 18:09:47 GMT 2024","Sat Jun 29 18:10:27 GMT 2024","39776","chromium","","Forms","","","TC_08_32_01 | Verify that user can create form","Verify that user can create form"
"passed","Sat Jun 29 18:05:30 GMT 2024","Sat Jun 29 18:06:00 GMT 2024","30122","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"skipped","Sat Jun 29 18:08:51 GMT 2024","Sat Jun 29 18:08:51 GMT 2024","0","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder",""
"passed","Sat Jun 29 18:07:03 GMT 2024","Sat Jun 29 18:08:03 GMT 2024","60387","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Sat Jun 29 18:09:17 GMT 2024","Sat Jun 29 18:10:18 GMT 2024","61207","chromium","","DocumentsType","","","TC_05_16_01 | Verify that the user receives an email reminder to sign the document",""
"passed","Sat Jun 29 18:11:51 GMT 2024","Sat Jun 29 18:12:21 GMT 2024","30048","chromium","","Billing","","","TC_14_57_02 | Verify the ability to successfully downgrade subscription",""
"passed","Sat Jun 29 18:10:02 GMT 2024","Sat Jun 29 18:10:42 GMT 2024","39698","chromium","","Forms","","","TC_08_35_01 | Verify that user can duplicate form","Verify that user can duplicate form"
"passed","Sat Jun 29 18:07:31 GMT 2024","Sat Jun 29 18:08:16 GMT 2024","45173","chromium","","Sign Document","","","TC_04_13_01 | Verify the document's expiration","Objective: Verify that changing the document status to ""expired""(database) updates the front-end display"
"passed","Sat Jun 29 18:05:30 GMT 2024","Sat Jun 29 18:06:02 GMT 2024","31782","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Sat Jun 29 18:11:48 GMT 2024","Sat Jun 29 18:12:17 GMT 2024","29487","chromium","","Settings: Edit signature","","","TC_13_51_01 | Verify that user can create Signature.",""
"passed","Sat Jun 29 18:11:19 GMT 2024","Sat Jun 29 18:11:44 GMT 2024","25809","chromium","","API key","","","TC_12_48_01 | Copy API key created by the ""Create API"" button on the right.","To verify that user can copy API key created by the ""Create API"" button on the right."
"passed","Sat Jun 29 18:09:45 GMT 2024","Sat Jun 29 18:10:54 GMT 2024","69626","chromium","","Templates","","","TC_07_28_01 | Verify that user can edit template","Objective: To verify that a user can successfully edit an existing template by changing its name, message, role, and associated document, and ensure that the changes are reflected in the user interface and confirmed by appropriate toast messages."
"passed","Sat Jun 29 18:10:54 GMT 2024","Sat Jun 29 18:11:40 GMT 2024","45249","chromium","","Profile","","","TC_11_44_01 | Verify User can change email","Objective: To verify that the User can change a email."
"passed","Sat Jun 29 18:09:02 GMT 2024","Sat Jun 29 18:10:02 GMT 2024","60341","chromium","","Templates","","","TC_07_31_01 | Verify that  the user can select Add to API","Objective: To verify the process of add template to API."
"passed","Sat Jun 29 18:06:00 GMT 2024","Sat Jun 29 18:07:03 GMT 2024","63122","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves",""
"passed","Sat Jun 29 18:11:22 GMT 2024","Sat Jun 29 18:11:48 GMT 2024","25669","chromium","","API key","","","TC_12_48_01_02 | Verify User can copy API key created by the ""Create API"" button in Table.",""
"passed","Sat Jun 29 18:12:18 GMT 2024","Sat Jun 29 18:13:13 GMT 2024","54999","chromium","","Billing","","","TC_14_54_01 | Attach/delete payment card","Objective: To verify the functionality of attaching a payment card through the settings-billing section and deleting a payment card through the Billing Portal."
"passed","Sat Jun 29 18:08:51 GMT 2024","Sat Jun 29 18:09:45 GMT 2024","53283","chromium","","Templates","","","TC_07_27_01 | Verify that user can create a template","Objective: To verify that the user can create a new template in the system successfully. This includes ensuring that all required fields are completed correctly, the template is saved, and it is accessible for future use."
"passed","Sat Jun 29 18:06:57 GMT 2024","Sat Jun 29 18:08:19 GMT 2024","82396","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"passed","Sat Jun 29 18:11:40 GMT 2024","Sat Jun 29 18:12:07 GMT 2024","27221","chromium","","API key","","","TC_12_49_01 | Purchase Platinum API plan","Objective: Verify that the user can successfully purchase an API plan"
"passed","Sat Jun 29 18:11:24 GMT 2024","Sat Jun 29 18:11:51 GMT 2024","26777","chromium","","API key","","","TC_12_49_01 | Purchase Gold API plan","Objective: Verify that the user can successfully purchase an API plan"
"passed","Sat Jun 29 18:10:27 GMT 2024","Sat Jun 29 18:11:22 GMT 2024","55191","chromium","","Team","","","TC_09_39_02 | Verify that Business User can downgrade an ""Admin"" team member to ""User""","Objective: To verify that Business User can downgrade an ""Admin"" team member to ""User"""
"passed","Sat Jun 29 18:10:18 GMT 2024","Sat Jun 29 18:11:19 GMT 2024","60380","chromium","","Team","","","TC_09_39_01 | Verify that Business User can upgrade a ""User"" team member to ""Admin""","Objective: To verify that Business User can upgrade a ""User"" team member to ""Admin"""
"passed","Sat Jun 29 18:12:31 GMT 2024","Sat Jun 29 18:12:38 GMT 2024","6301","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Free User",""
"passed","Sat Jun 29 18:12:38 GMT 2024","Sat Jun 29 18:12:57 GMT 2024","19772","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Business User",""
"passed","Sat Jun 29 18:06:02 GMT 2024","Sat Jun 29 18:06:55 GMT 2024","53717","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it",""
"passed","Sat Jun 29 18:07:52 GMT 2024","Sat Jun 29 18:08:41 GMT 2024","49330","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"passed","Sat Jun 29 18:12:21 GMT 2024","Sat Jun 29 18:12:53 GMT 2024","32025","chromium","","","","","Verify that Email message received",""
"passed","Sat Jun 29 18:05:30 GMT 2024","Sat Jun 29 18:05:54 GMT 2024","23970","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Sat Jun 29 18:06:01 GMT 2024","Sat Jun 29 18:06:57 GMT 2024","55971","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Sat Jun 29 18:08:04 GMT 2024","Sat Jun 29 18:08:51 GMT 2024","47916","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active","Objective: To verify that the document can be returned for editing."
"passed","Sat Jun 29 18:08:41 GMT 2024","Sat Jun 29 18:09:47 GMT 2024","65993","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
