"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 23:01:33 GMT 2024","Thu Jul 04 23:01:59 GMT 2024","26103","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","Objective: To verify the user can delete the folder"
"passed","Thu Jul 04 22:52:45 GMT 2024","Thu Jul 04 22:53:21 GMT 2024","35831","chromium","","Sign Document","","","TC_04_10_02 | Verify that the user who uploaded the document and other signer can sign it","Objective: To verify that the user who uploaded the document and Other Signer can sign it"
"passed","Thu Jul 04 22:58:03 GMT 2024","Thu Jul 04 22:58:41 GMT 2024","38109","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Thu Jul 04 22:51:57 GMT 2024","Thu Jul 04 22:52:45 GMT 2024","48317","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"broken","Thu Jul 04 22:36:20 GMT 2024","Thu Jul 04 22:37:27 GMT 2024","67286","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature",""
"broken","Thu Jul 04 22:15:54 GMT 2024","Thu Jul 04 22:16:54 GMT 2024","60280","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"failed","Thu Jul 04 22:13:38 GMT 2024","Thu Jul 04 22:13:49 GMT 2024","11246","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Thu Jul 04 23:01:59 GMT 2024","Thu Jul 04 23:02:32 GMT 2024","33325","chromium","","Folders","","","TC_06_23_01 | Rename folder","Objective: Testing Folder Renaming Functionality."
"passed","Thu Jul 04 22:54:00 GMT 2024","Thu Jul 04 22:54:28 GMT 2024","28613","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers","To verify custom signing order between others customers"
"passed","Thu Jul 04 22:57:23 GMT 2024","Thu Jul 04 22:58:03 GMT 2024","39894","chromium","","DocumentsType","","","TC_05_16_01 | Verify the user receives an email reminder to sign the document","Objective: To verify that the user can send a reminder through the user interface."
"broken","Thu Jul 04 22:11:34 GMT 2024","Thu Jul 04 22:12:34 GMT 2024","60319","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Thu Jul 04 22:59:48 GMT 2024","Thu Jul 04 23:00:25 GMT 2024","36853","chromium","","DocumentsType","","","TC_05_19_01 | Verify that deleted document has been moved to the trash by using ACTIONS_options dropdown menu and then deleted permanently","To verify the process of moving the document to the trash and then deleting document permanently."
"broken","Thu Jul 04 22:22:38 GMT 2024","Thu Jul 04 22:23:45 GMT 2024","67225","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer",""
"broken","Thu Jul 04 22:29:29 GMT 2024","Thu Jul 04 22:30:36 GMT 2024","67250","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it",""
"passed","Thu Jul 04 22:49:28 GMT 2024","Thu Jul 04 22:51:57 GMT 2024","148697","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"passed","Thu Jul 04 22:56:05 GMT 2024","Thu Jul 04 22:56:47 GMT 2024","42449","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active","Objective: To verify that the document can be returned for editing."
"passed","Thu Jul 04 22:53:21 GMT 2024","Thu Jul 04 22:54:00 GMT 2024","38635","chromium","","Sign Document","","","TC_04_13_01 | Verify the document's expiration date","Objective: Verify that changing the document status to ""expired""(database) updates the front-end display"
"broken","Thu Jul 04 22:32:54 GMT 2024","Thu Jul 04 22:34:02 GMT 2024","67251","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial",""
"passed","Thu Jul 04 22:58:41 GMT 2024","Thu Jul 04 22:59:48 GMT 2024","66445","chromium","","DocumentsType","","","TC_05_17_01 | Share document","Objective: To verify that the document can be Share."
"broken","Thu Jul 04 22:08:29 GMT 2024","Thu Jul 04 22:09:30 GMT 2024","60312","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Thu Jul 04 22:38:37 GMT 2024","Thu Jul 04 22:39:50 GMT 2024","72677","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"failed","Thu Jul 04 22:13:01 GMT 2024","Thu Jul 04 22:13:12 GMT 2024","11136","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"broken","Thu Jul 04 22:26:03 GMT 2024","Thu Jul 04 22:27:11 GMT 2024","67203","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature",""
"broken","Thu Jul 04 22:19:12 GMT 2024","Thu Jul 04 22:20:20 GMT 2024","67226","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves",""
"passed","Thu Jul 04 22:56:48 GMT 2024","Thu Jul 04 22:57:23 GMT 2024","35897","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder","To verify the process of moving a document into a folder."
"passed","Thu Jul 04 22:55:25 GMT 2024","Thu Jul 04 22:56:05 GMT 2024","40110","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"passed","Thu Jul 04 23:02:32 GMT 2024","Thu Jul 04 23:03:07 GMT 2024","35106","chromium","","Folders","","","TC_06_25_01 | Move folder to folder","To verify the user can move folder to folder"
"passed","Thu Jul 04 22:54:28 GMT 2024","Thu Jul 04 22:55:25 GMT 2024","56612","chromium","","Sign Document","","","TC_04_12_01 | Verify that signer can decline signature","Objective: To verify that signer can decline signature"
"passed","Thu Jul 04 23:01:14 GMT 2024","Thu Jul 04 23:01:33 GMT 2024","18186","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder","Objective: To verify the user can create the folder"
"passed","Thu Jul 04 23:00:25 GMT 2024","Thu Jul 04 23:01:14 GMT 2024","49618","chromium","","DocumentsType","","","TC_05_20_01 | Verify that Business User can download a ""Completed"" document (API)","Objective: Verify that Business User can download a ""Completed"" document (API)"
"passed","Thu Jul 04 23:03:07 GMT 2024","Thu Jul 04 23:03:37 GMT 2024","30404","chromium","","Templates","","","TC_07_27_01 | Verify that user can create a template","Objective: To verify that the user can create a new template in the system successfully. This includes ensuring that all required fields are completed correctly, the template is saved, and it is accessible for future use."
