"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 21:38:22 GMT 2024","Fri Jul 05 21:40:15 GMT 2024","113052","chromium","","Folders","","","TC_06_25_01 | Move folder to folder","To verify the user can move folder to folder"
"passed","Fri Jul 05 20:52:10 GMT 2024","Fri Jul 05 20:52:54 GMT 2024","43506","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Fri Jul 05 20:51:14 GMT 2024","Fri Jul 05 20:51:18 GMT 2024","4491","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"broken","Fri Jul 05 21:24:56 GMT 2024","Fri Jul 05 21:25:56 GMT 2024","60297","chromium","","DocumentsType","","","TC_05_19_01 | Verify that deleted document has been moved to the trash by using ACTIONS_options dropdown menu and then deleted permanently",""
"passed","Fri Jul 05 21:06:03 GMT 2024","Fri Jul 05 21:08:03 GMT 2024","120510","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active","Objective: To verify that the document can be returned for editing."
"passed","Fri Jul 05 20:51:18 GMT 2024","Fri Jul 05 20:52:10 GMT 2024","52006","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves","Objective: To verify the process of creating and signing a document"
"broken","Fri Jul 05 21:19:26 GMT 2024","Fri Jul 05 21:20:26 GMT 2024","60290","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft",""
"passed","Fri Jul 05 21:01:15 GMT 2024","Fri Jul 05 21:02:00 GMT 2024","45236","chromium","","Sign Document","","","TC_04_10_02 | Verify that the user who uploaded the document and other signer can sign it","Objective: To verify that the user who uploaded the document and Other Signer can sign it"
"passed","Fri Jul 05 20:50:48 GMT 2024","Fri Jul 05 20:51:14 GMT 2024","25498","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Fri Jul 05 21:20:27 GMT 2024","Fri Jul 05 21:22:53 GMT 2024","145282","chromium","","DocumentsType","","","TC_05_17_01 | Share document","Objective: To verify that the document can be Share."
"passed","Fri Jul 05 20:50:09 GMT 2024","Fri Jul 05 20:50:27 GMT 2024","17814","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"broken","Fri Jul 05 21:42:18 GMT 2024","Fri Jul 05 21:43:19 GMT 2024","60319","chromium","","Templates","","","TC_07_27_01 | Verify that user can create a template",""
"passed","Fri Jul 05 21:34:13 GMT 2024","Fri Jul 05 21:35:03 GMT 2024","49576","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","Objective: To verify the user can delete the folder"
"passed","Fri Jul 05 20:49:46 GMT 2024","Fri Jul 05 20:50:09 GMT 2024","23625","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Fri Jul 05 20:50:27 GMT 2024","Fri Jul 05 20:50:48 GMT 2024","21237","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"broken","Fri Jul 05 21:30:05 GMT 2024","Fri Jul 05 21:31:07 GMT 2024","61132","chromium","","DocumentsType","","","TC_05_20_01 | Verify that Business User can download a ""Completed"" document (API)",""
"passed","Fri Jul 05 21:02:43 GMT 2024","Fri Jul 05 21:03:13 GMT 2024","29722","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers","To verify custom signing order between others customers"
"passed","Fri Jul 05 20:55:33 GMT 2024","Fri Jul 05 20:56:27 GMT 2024","53833","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
"passed","Fri Jul 05 21:04:14 GMT 2024","Fri Jul 05 21:05:07 GMT 2024","52402","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"passed","Fri Jul 05 21:03:13 GMT 2024","Fri Jul 05 21:04:14 GMT 2024","60959","chromium","","Sign Document","","","TC_04_12_01 | Verify that signer can decline signature","Objective: To verify that signer can decline signature"
