"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 17:35:11 GMT 2024","Fri Jul 05 17:37:43 GMT 2024","152506","chromium","","DocumentsType","","","TC_05_17_01 | Share document","Objective: To verify that the document can be Share."
"passed","Fri Jul 05 17:04:34 GMT 2024","Fri Jul 05 17:06:21 GMT 2024","107046","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Fri Jul 05 17:31:09 GMT 2024","Fri Jul 05 17:33:28 GMT 2024","139152","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"broken","Fri Jul 05 17:25:59 GMT 2024","Fri Jul 05 17:27:00 GMT 2024","60366","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder",""
"broken","Fri Jul 05 17:21:56 GMT 2024","Fri Jul 05 17:22:57 GMT 2024","60337","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active",""
"failed","Fri Jul 05 17:38:47 GMT 2024","Fri Jul 05 17:39:58 GMT 2024","70673","chromium","","DocumentsType","","","TC_05_19_01 | Verify that deleted document has been moved to the trash by using ACTIONS_options dropdown menu and then deleted permanently","To verify the process of moving the document to the trash and then deleting document permanently."
"passed","Fri Jul 05 17:14:24 GMT 2024","Fri Jul 05 17:16:53 GMT 2024","148106","chromium","","Sign Document","","","TC_04_12_01 | Verify that signer can decline signature","Objective: To verify that signer can decline signature"
"passed","Fri Jul 05 16:55:37 GMT 2024","Fri Jul 05 16:58:04 GMT 2024","146557","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature","Objective: To verify the process of creating and signing a document with an existing signature"
"passed","Fri Jul 05 16:42:12 GMT 2024","Fri Jul 05 16:42:33 GMT 2024","21173","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Fri Jul 05 16:50:51 GMT 2024","Fri Jul 05 16:52:41 GMT 2024","110427","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Fri Jul 05 16:43:35 GMT 2024","Fri Jul 05 16:43:37 GMT 2024","2276","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"passed","Fri Jul 05 17:28:03 GMT 2024","Fri Jul 05 17:31:09 GMT 2024","185855","chromium","","DocumentsType","","","TC_05_16_01 | Verify the user receives an email reminder to sign the document","Objective: To verify that the user can send a reminder through the user interface."
"passed","Fri Jul 05 16:43:14 GMT 2024","Fri Jul 05 16:43:35 GMT 2024","20660","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Fri Jul 05 16:44:21 GMT 2024","Fri Jul 05 16:45:24 GMT 2024","62855","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Fri Jul 05 16:43:37 GMT 2024","Fri Jul 05 16:44:21 GMT 2024","44221","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves","Objective: To verify the process of creating and signing a document"
"passed","Fri Jul 05 16:42:33 GMT 2024","Fri Jul 05 16:42:51 GMT 2024","17654","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Fri Jul 05 17:06:21 GMT 2024","Fri Jul 05 17:07:43 GMT 2024","82521","chromium","","Sign Document","","","TC_04_10_02 | Verify that the user who uploaded the document and other signer can sign it","Objective: To verify that the user who uploaded the document and Other Signer can sign it"
"passed","Fri Jul 05 16:58:04 GMT 2024","Fri Jul 05 16:59:11 GMT 2024","66956","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"passed","Fri Jul 05 17:12:01 GMT 2024","Fri Jul 05 17:13:23 GMT 2024","81651","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers","To verify custom signing order between others customers"
"failed","Fri Jul 05 17:02:12 GMT 2024","Fri Jul 05 17:04:33 GMT 2024","140271","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"passed","Fri Jul 05 16:42:51 GMT 2024","Fri Jul 05 16:43:14 GMT 2024","23109","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"failed","Fri Jul 05 16:48:56 GMT 2024","Fri Jul 05 16:50:50 GMT 2024","113760","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"passed","Fri Jul 05 17:16:53 GMT 2024","Fri Jul 05 17:19:53 GMT 2024","180768","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"broken","Fri Jul 05 17:11:00 GMT 2024","Fri Jul 05 17:12:00 GMT 2024","60341","chromium","","Sign Document","","","TC_04_13_01 | Verify the document's expiration date",""
"passed","Fri Jul 05 16:53:43 GMT 2024","Fri Jul 05 16:55:37 GMT 2024","114497","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
