"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 06 14:54:20 GMT 2024","Sat Jul 06 14:54:56 GMT 2024","36332","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Sat Jul 06 14:53:23 GMT 2024","Sat Jul 06 14:54:20 GMT 2024","56481","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves","Objective: To verify the process of creating and signing a document"
"passed","Sat Jul 06 14:52:19 GMT 2024","Sat Jul 06 14:52:36 GMT 2024","16916","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Sat Jul 06 14:52:56 GMT 2024","Sat Jul 06 14:53:21 GMT 2024","24671","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Sat Jul 06 14:54:56 GMT 2024","Sat Jul 06 14:55:43 GMT 2024","46311","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"passed","Sat Jul 06 14:57:05 GMT 2024","Sat Jul 06 14:57:49 GMT 2024","44213","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature","Objective: To verify the process of creating and signing a document with an existing signature"
"passed","Sat Jul 06 14:57:49 GMT 2024","Sat Jul 06 14:58:17 GMT 2024","28304","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"passed","Sat Jul 06 14:51:57 GMT 2024","Sat Jul 06 14:52:19 GMT 2024","22485","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Sat Jul 06 14:52:36 GMT 2024","Sat Jul 06 14:52:56 GMT 2024","20132","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"passed","Sat Jul 06 14:56:19 GMT 2024","Sat Jul 06 14:57:05 GMT 2024","46044","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
"passed","Sat Jul 06 14:55:43 GMT 2024","Sat Jul 06 14:56:19 GMT 2024","36206","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Sat Jul 06 14:53:21 GMT 2024","Sat Jul 06 14:53:23 GMT 2024","2304","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
