"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 06 21:54:41 GMT 2024","Sat Jul 06 21:55:41 GMT 2024","60311","chromium","","CreateDocument","","","TC_03_08_01 | Verify that the user can send a template for signature",""
"passed","Sat Jul 06 21:41:44 GMT 2024","Sat Jul 06 21:41:48 GMT 2024","3080","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"passed","Sat Jul 06 21:40:16 GMT 2024","Sat Jul 06 21:40:40 GMT 2024","24051","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"broken","Sat Jul 06 22:03:55 GMT 2024","Sat Jul 06 22:05:02 GMT 2024","67203","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document",""
"broken","Sat Jul 06 22:24:28 GMT 2024","Sat Jul 06 22:25:35 GMT 2024","67268","chromium","","Sign Document","","","TC_04_10_03 | Verify that the user who uploaded the document can send it to signer",""
"passed","Sat Jul 06 21:41:01 GMT 2024","Sat Jul 06 21:41:23 GMT 2024","22044","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"broken","Sat Jul 06 22:21:02 GMT 2024","Sat Jul 06 22:22:09 GMT 2024","67181","chromium","","Sign Document","","","TC_04_12_01 | Verify that signer can decline signature",""
"passed","Sat Jul 06 21:47:18 GMT 2024","Sat Jul 06 21:48:33 GMT 2024","75166","chromium","","CreateDocument","","","TC_03_09_01 | Create Documents via Bulk Send","Objective: Enable document distribution via Bulk Send."
"passed","Sat Jul 06 21:44:31 GMT 2024","Sat Jul 06 21:45:32 GMT 2024","61351","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"passed","Sat Jul 06 21:46:17 GMT 2024","Sat Jul 06 21:47:18 GMT 2024","60386","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
"passed","Sat Jul 06 21:42:47 GMT 2024","Sat Jul 06 21:43:29 GMT 2024","42396","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"broken","Sat Jul 06 22:10:46 GMT 2024","Sat Jul 06 22:11:53 GMT 2024","67212","chromium","","Sign Document","","","TC_04_10_02 | Verify that the user who uploaded the document and other signer can sign it",""
"passed","Sat Jul 06 21:40:40 GMT 2024","Sat Jul 06 21:41:01 GMT 2024","20928","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"broken","Sat Jul 06 22:14:11 GMT 2024","Sat Jul 06 22:15:18 GMT 2024","67217","chromium","","Sign Document","","","TC_04_13_01 | Verify the document's expiration date",""
"passed","Sat Jul 06 21:45:32 GMT 2024","Sat Jul 06 21:46:17 GMT 2024","45056","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Sat Jul 06 21:41:23 GMT 2024","Sat Jul 06 21:41:44 GMT 2024","21797","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Sat Jul 06 21:41:48 GMT 2024","Sat Jul 06 21:42:47 GMT 2024","59192","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves","Objective: To verify the process of creating and signing a document"
"passed","Sat Jul 06 21:55:42 GMT 2024","Sat Jul 06 21:58:15 GMT 2024","152414","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"broken","Sat Jul 06 22:17:37 GMT 2024","Sat Jul 06 22:18:44 GMT 2024","67218","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers",""
"broken","Sat Jul 06 21:51:36 GMT 2024","Sat Jul 06 21:52:36 GMT 2024","60355","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature",""
"broken","Sat Jul 06 22:07:20 GMT 2024","Sat Jul 06 22:08:27 GMT 2024","67185","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself",""
