"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 05:07:48 GMT 2024","Sun Jul 07 05:10:06 GMT 2024","137571","chromium","","Sign Document","","","TC_04_12_01 | Verify that signer can decline signature","Objective: To verify that signer can decline signature"
"passed","Sun Jul 07 05:20:08 GMT 2024","Sun Jul 07 05:21:50 GMT 2024","101511","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active","Objective: To verify that the document can be returned for editing."
"failed","Sun Jul 07 04:27:51 GMT 2024","Sun Jul 07 04:30:29 GMT 2024","158260","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"failed","Sun Jul 07 05:39:07 GMT 2024","Sun Jul 07 05:41:11 GMT 2024","124213","chromium","","DocumentsType","","","TC_05_19_02 | Verify that deleted documents have been moved to the trash by using checkboxes and Select_options dropdown menu and then deleted permanently","To verify the process of moving the documents to the trash by checkboxes and then deleting documents permanently."
"failed","Sun Jul 07 04:15:36 GMT 2024","Sun Jul 07 04:15:43 GMT 2024","7294","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Sun Jul 07 04:16:36 GMT 2024","Sun Jul 07 04:17:33 GMT 2024","56919","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Sun Jul 07 04:32:36 GMT 2024","Sun Jul 07 04:33:39 GMT 2024","62457","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
"failed","Sun Jul 07 05:25:01 GMT 2024","Sun Jul 07 05:26:58 GMT 2024","117024","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder","To verify the process of moving a document into a folder."
"passed","Sun Jul 07 05:31:53 GMT 2024","Sun Jul 07 05:33:52 GMT 2024","118511","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Sun Jul 07 04:17:45 GMT 2024","Sun Jul 07 04:17:53 GMT 2024","7946","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"passed","Sun Jul 07 05:15:17 GMT 2024","Sun Jul 07 05:18:31 GMT 2024","194084","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"broken","Sun Jul 07 04:22:16 GMT 2024","Sun Jul 07 04:23:17 GMT 2024","60434","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer",""
"passed","Sun Jul 07 05:33:52 GMT 2024","Sun Jul 07 05:36:01 GMT 2024","129429","chromium","","DocumentsType","","","TC_05_17_01 | Share document","Objective: To verify that the document can be Share."
"passed","Sun Jul 07 05:00:53 GMT 2024","Sun Jul 07 05:02:02 GMT 2024","68579","chromium","","Sign Document","","","TC_04_10_02 | Verify that the user who uploaded the document and other signer can sign it","Objective: To verify that the user who uploaded the document and Other Signer can sign it"
"broken","Sun Jul 07 05:04:39 GMT 2024","Sun Jul 07 05:05:40 GMT 2024","60893","chromium","","Sign Document","","","TC_04_13_01 | Verify the document's expiration date",""
"passed","Sun Jul 07 04:58:19 GMT 2024","Sun Jul 07 04:59:52 GMT 2024","92271","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Sun Jul 07 04:44:04 GMT 2024","Sun Jul 07 04:46:37 GMT 2024","152649","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"broken","Sun Jul 07 05:13:13 GMT 2024","Sun Jul 07 05:14:13 GMT 2024","60331","chromium","","Sign Document","","","TC_04_10_03 | Verify that the user who uploaded the document can send it to signer",""
"passed","Sun Jul 07 04:17:53 GMT 2024","Sun Jul 07 04:20:13 GMT 2024","139814","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves","Objective: To verify the process of creating and signing a document"
"passed","Sun Jul 07 04:42:08 GMT 2024","Sun Jul 07 04:44:04 GMT 2024","116397","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature","Objective: To verify the process of creating and signing a document with an existing signature"
"passed","Sun Jul 07 04:50:04 GMT 2024","Sun Jul 07 04:53:56 GMT 2024","231477","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"passed","Sun Jul 07 04:30:30 GMT 2024","Sun Jul 07 04:31:32 GMT 2024","62077","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it","Objective: To verify the process of creating, signing, and sending a document to another signer."
"broken","Sun Jul 07 05:38:04 GMT 2024","Sun Jul 07 05:39:05 GMT 2024","61419","chromium","","DocumentsType","","","TC_05_19_01 | Verify that deleted document has been moved to the trash by using ACTIONS_options dropdown menu and then deleted permanently",""
"passed","Sun Jul 07 04:14:20 GMT 2024","Sun Jul 07 04:15:17 GMT 2024","57266","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Sun Jul 07 05:06:44 GMT 2024","Sun Jul 07 05:07:48 GMT 2024","64676","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers","To verify custom signing order between others customers"
"passed","Sun Jul 07 05:26:59 GMT 2024","Sun Jul 07 05:29:50 GMT 2024","170739","chromium","","DocumentsType","","","TC_05_16_01 | Verify the user receives an email reminder to sign the document","Objective: To verify that the user can send a reminder through the user interface."
"passed","Sun Jul 07 04:15:44 GMT 2024","Sun Jul 07 04:16:36 GMT 2024","51682","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"failed","Sun Jul 07 04:37:22 GMT 2024","Sun Jul 07 04:39:12 GMT 2024","110017","chromium","","CreateDocument","","","TC_03_09_01 | Create Documents via Bulk Send","Objective: Enable document distribution via Bulk Send."
