"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 07 22:16:41 GMT 2024","Sun Jul 07 22:17:48 GMT 2024","67403","chromium","","Forms","","","TC_08_33_01 | Verify that user can edit form",""
"passed","Sun Jul 07 21:47:49 GMT 2024","Sun Jul 07 21:48:48 GMT 2024","58589","chromium","","Folders","","","TC_06_26_01 | Verify that the user can assign folder permissions to the team member User","Objective: Verify that the user can assign folder permissions to the team member with role User"
"broken","Sun Jul 07 22:02:58 GMT 2024","Sun Jul 07 22:04:05 GMT 2024","67251","chromium","","Forms","","","TC_08_32_01 | Verify that user can create form",""
"passed","Sun Jul 07 21:49:46 GMT 2024","Sun Jul 07 21:51:20 GMT 2024","93479","chromium","","Folders","","","TC_06_26_02 | Verify that the user can assign folder permissions to multiple team members.","Objective: To verify the user can assign folder permissions to multiple team members."
"broken","Sun Jul 07 22:33:50 GMT 2024","Sun Jul 07 22:34:57 GMT 2024","67278","chromium","","Team","","","TC_09_40_01 | Verify that Business User can remove ""User"" teammate from Team",""
"broken","Sun Jul 07 22:09:49 GMT 2024","Sun Jul 07 22:10:57 GMT 2024","67365","chromium","","Forms","","","TC_08_36_01 | Verify that user can disable and enable form",""
"passed","Sun Jul 07 21:31:56 GMT 2024","Sun Jul 07 21:33:21 GMT 2024","84699","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"passed","Sun Jul 07 21:44:44 GMT 2024","Sun Jul 07 21:45:39 GMT 2024","55656","chromium","","DocumentsType","","","TC_05_20_01 | Verify that Business User can download a ""Completed"" document (API)","Objective: Verify that Business User can download a ""Completed"" document (API)"
"passed","Sun Jul 07 21:55:34 GMT 2024","Sun Jul 07 21:57:12 GMT 2024","97960","chromium","","Templates","","","TC_07_31_01 | Verify that  the user can select Add to API","Objective: To verify the process of add template to API."
"passed","Sun Jul 07 21:35:49 GMT 2024","Sun Jul 07 21:36:22 GMT 2024","32850","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers","To verify custom signing order between others customers"
"broken","Sun Jul 07 22:26:58 GMT 2024","Sun Jul 07 22:28:05 GMT 2024","67287","chromium","","Team","","","TC_09_39_01 | Verify that Business User can upgrade a ""User"" team member to ""Admin""",""
"passed","Sun Jul 07 21:23:23 GMT 2024","Sun Jul 07 21:23:44 GMT 2024","20544","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"broken","Sun Jul 07 22:30:24 GMT 2024","Sun Jul 07 22:31:31 GMT 2024","67463","chromium","","Team","","","TC_09_39_02 | Verify that Business User can downgrade an ""Admin"" team member to ""User""",""
"passed","Sun Jul 07 21:33:21 GMT 2024","Sun Jul 07 21:34:15 GMT 2024","54382","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Sun Jul 07 21:31:26 GMT 2024","Sun Jul 07 21:31:56 GMT 2024","29938","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"passed","Sun Jul 07 21:24:26 GMT 2024","Sun Jul 07 21:24:47 GMT 2024","21363","chromium","","Registration","","","TC_01_59_01|Verify successful registration of Business User with Annually subscription","To verify that a Business user can successfully register."
"passed","Sun Jul 07 21:48:48 GMT 2024","Sun Jul 07 21:49:46 GMT 2024","58895","chromium","","Folders","","","TC_06_26_01 | Verify that the user can assign folder permissions to the team member Admin","Objective: Verify that the user can assign folder permissions to the team member with role Admin"
"passed","Sun Jul 07 21:58:13 GMT 2024","Sun Jul 07 21:58:58 GMT 2024","44369","chromium","","Templates","","","TC_07_30_01 | Verify that user can duplicate template","Objective: To verify the process of duplicate template."
"passed","Sun Jul 07 21:27:17 GMT 2024","Sun Jul 07 21:27:55 GMT 2024","38177","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it","Objective: To verify the process of creating, signing, and sending a document to another signer."
"broken","Sun Jul 07 22:23:32 GMT 2024","Sun Jul 07 22:24:40 GMT 2024","67259","chromium","","Team","","","TC_09_38_01 | Verify that Business User can add Admin team member",""
"passed","Sun Jul 07 21:37:23 GMT 2024","Sun Jul 07 21:38:03 GMT 2024","40023","chromium","","Sign Document","","","TC_04_10_03 | Verify that the user who uploaded the document can send it to signer","Objective: To verify that the user who uploaded the document can send it for signer"
"passed","Sun Jul 07 21:58:58 GMT 2024","Sun Jul 07 21:59:48 GMT 2024","49796","chromium","","Templates","","","TC_07_29_01 | Verify that the user can delete the template","Objective: Verify that the user can successfully delete a template."
"passed","Sun Jul 07 21:34:57 GMT 2024","Sun Jul 07 21:35:49 GMT 2024","51763","chromium","","Sign Document","","","TC_04_13_01 | Verify the document's expiration date","Objective: Verify that changing the document status to ""expired""(database) updates the front-end display"
"passed","Sun Jul 07 21:47:08 GMT 2024","Sun Jul 07 21:47:49 GMT 2024","40735","chromium","","Folders","","","TC_06_25_01 | Move folder to folder","To verify the user can move folder to folder"
"passed","Sun Jul 07 21:34:15 GMT 2024","Sun Jul 07 21:34:57 GMT 2024","42111","chromium","","Sign Document","","","TC_04_10_02 | Verify that the user who uploaded the document and other signer can sign it","Objective: To verify that the user who uploaded the document and Other Signer can sign it"
"broken","Sun Jul 07 22:06:24 GMT 2024","Sun Jul 07 22:07:31 GMT 2024","67286","chromium","","Forms","","","TC_08_35_01 | Verify that user can duplicate form",""
"passed","Sun Jul 07 21:27:55 GMT 2024","Sun Jul 07 21:28:55 GMT 2024","59540","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
"broken","Sun Jul 07 22:13:15 GMT 2024","Sun Jul 07 22:14:22 GMT 2024","67189","chromium","","Forms","","","TC_08_34_01 | Verify that user can delete form",""
"passed","Sun Jul 07 21:24:47 GMT 2024","Sun Jul 07 21:24:50 GMT 2024","3346","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"passed","Sun Jul 07 21:28:55 GMT 2024","Sun Jul 07 21:29:54 GMT 2024","59732","chromium","","CreateDocument","","","TC_03_09_01 | Create Documents via Bulk Send","Objective: Enable document distribution via Bulk Send."
"broken","Sun Jul 07 22:20:07 GMT 2024","Sun Jul 07 22:21:14 GMT 2024","67263","chromium","","Team","","","TC_09_38_01 | Verify that Business User can add User team member",""
"passed","Sun Jul 07 21:40:13 GMT 2024","Sun Jul 07 21:40:56 GMT 2024","43155","chromium","","DocumentsType","","","TC_05_16_01 | Verify the user receives an email reminder to sign the document","Objective: To verify that the user can send a reminder through the user interface."
"passed","Sun Jul 07 21:26:32 GMT 2024","Sun Jul 07 21:27:17 GMT 2024","45447","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"passed","Sun Jul 07 21:40:56 GMT 2024","Sun Jul 07 21:41:42 GMT 2024","46060","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Sun Jul 07 21:36:22 GMT 2024","Sun Jul 07 21:37:23 GMT 2024","61189","chromium","","Sign Document","","","TC_04_12_01 | Verify that signer can decline signature","Objective: To verify that signer can decline signature"
"passed","Sun Jul 07 21:57:12 GMT 2024","Sun Jul 07 21:58:13 GMT 2024","61788","chromium","","Templates","","","TC_07_28_01 | Verify that user can edit template","Objective: To verify that a user can successfully edit an existing template by changing its name, message, role, and associated document, and ensure that the changes are reflected in the user interface and confirmed by appropriate toast messages."
"passed","Sun Jul 07 21:25:50 GMT 2024","Sun Jul 07 21:26:32 GMT 2024","41543","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Sun Jul 07 21:38:03 GMT 2024","Sun Jul 07 21:38:47 GMT 2024","43504","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"passed","Sun Jul 07 21:23:06 GMT 2024","Sun Jul 07 21:23:23 GMT 2024","17201","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Sun Jul 07 21:29:54 GMT 2024","Sun Jul 07 21:30:41 GMT 2024","46702","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature","Objective: To verify the process of creating and signing a document with an existing signature"
"passed","Sun Jul 07 21:45:39 GMT 2024","Sun Jul 07 21:46:03 GMT 2024","23668","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder","Objective: To verify the user can create the folder"
